date,ticker,quarter,year,period_start,period_end,close,volume,eps,rev,GS,JPM,MS
2022-01-03,AAPL,Q1,2022,2022-01-01,2022-03-31,148.38036164729223,4714363,1.04,170.7,,,
2022-01-04,AAPL,Q1,2022,2022-01-01,2022-03-31,149.8676307047421,4450394,1.04,170.7,,,
2022-01-05,AAPL,Q1,2022,2022-01-01,2022-03-31,150.29232448781977,2229392,1.04,170.7,,,
2022-01-06,AAPL,Q1,2022,2022-01-01,2022-03-31,148.04544395317384,3056828,1.04,170.7,,,
2022-01-07,AAPL,Q1,2022,2022-01-01,2022-03-31,147.1913259886134,4382309,1.04,170.7,,,
2022-01-10,AAPL,Q1,2022,2022-01-01,2022-03-31,149.64227959448118,3688335,1.04,170.7,,,
2022-01-11,AAPL,Q1,2022,2022-01-01,2022-03-31,146.05464767033473,4262344,1.04,170.7,,,Hold
2022-01-12,AAPL,Q1,2022,2022-01-01,2022-03-31,145.4295423775351,1556831,1.04,170.7,,,Hold
2022-01-13,AAPL,Q1,2022,2022-01-01,2022-03-31,147.2822902455854,3191104,1.04,170.7,,,Hold
2022-01-14,AAPL,Q1,2022,2022-01-01,2022-03-31,146.01125139139,4968520,1.04,170.7,,,Hold
2022-01-17,AAPL,Q1,2022,2022-01-01,2022-03-31,145.02335835461125,2951025,1.04,170.7,,,Hold
2022-01-18,AAPL,Q1,2022,2022-01-01,2022-03-31,144.88607324811218,4329478,1.04,170.7,,,Hold
2022-01-19,AAPL,Q1,2022,2022-01-01,2022-03-31,147.06308260861522,1138987,1.04,170.7,,,Hold
2022-01-20,AAPL,Q1,2022,2022-01-01,2022-03-31,146.12648878171797,1009124,1.04,170.7,,,Hold
2022-01-21,AAPL,Q1,2022,2022-01-01,2022-03-31,145.47915162671475,4078887,1.04,170.7,,,Hold
2022-01-24,AAPL,Q1,2022,2022-01-01,2022-03-31,144.84863140346943,1860914,1.04,170.7,Sell,,Hold
2022-01-25,AAPL,Q1,2022,2022-01-01,2022-03-31,148.07939411145438,1080748,1.04,170.7,Sell,,Hold
2022-01-26,AAPL,Q1,2022,2022-01-01,2022-03-31,151.35323923478654,2565179,1.04,170.7,Sell,,Hold
2022-01-27,AAPL,Q1,2022,2022-01-01,2022-03-31,152.8805620740684,2194494,1.04,170.7,Sell,,Hold
2022-01-28,AAPL,Q1,2022,2022-01-01,2022-03-31,153.47210751059905,4002501,1.04,170.7,Sell,,Hold
2022-01-31,AAPL,Q1,2022,2022-01-01,2022-03-31,154.60794511251908,1067748,1.04,170.7,Sell,,Hold
2022-02-01,AAPL,Q1,2022,2022-01-01,2022-03-31,156.9300000748799,2369213,1.04,170.7,Sell,,Hold
2022-02-02,AAPL,Q1,2022,2022-01-01,2022-03-31,155.46824644543108,4197734,1.04,170.7,Sell,,Hold
2022-02-03,AAPL,Q1,2022,2022-01-01,2022-03-31,157.30707680734733,2768067,1.04,170.7,Sell,,Hold
2022-02-04,AAPL,Q1,2022,2022-01-01,2022-03-31,155.34694829962592,2081264,1.04,170.7,Sell,,Hold
2022-02-07,AAPL,Q1,2022,2022-01-01,2022-03-31,154.3593732873449,4376548,1.04,170.7,Sell,,Hold
2022-02-08,AAPL,Q1,2022,2022-01-01,2022-03-31,155.76594508070167,4134665,1.04,170.7,Sell,,Hold
2022-02-09,AAPL,Q1,2022,2022-01-01,2022-03-31,153.55636856587407,1704393,1.04,170.7,Sell,,Hold
2022-02-10,AAPL,Q1,2022,2022-01-01,2022-03-31,153.34143468836174,2129584,1.04,170.7,Sell,,Hold
2022-02-11,AAPL,Q1,2022,2022-01-01,2022-03-31,152.02568477970553,2580898,1.04,170.7,Sell,,Hold
2022-02-14,AAPL,Q1,2022,2022-01-01,2022-03-31,151.6375739358053,3354695,1.04,170.7,Sell,,Hold
2022-02-15,AAPL,Q1,2022,2022-01-01,2022-03-31,147.4526932524621,4056150,1.04,170.7,Sell,,Hold
2022-02-16,AAPL,Q1,2022,2022-01-01,2022-03-31,144.8635217071245,4013744,1.04,170.7,Sell,,Hold
2022-02-17,AAPL,Q1,2022,2022-01-01,2022-03-31,143.85319454640822,3835699,1.04,170.7,Sell,,Hold
2022-02-18,AAPL,Q1,2022,2022-01-01,2022-03-31,145.19358508384522,3426694,1.04,170.7,Sell,,Hold
2022-02-21,AAPL,Q1,2022,2022-01-01,2022-03-31,144.94169595900397,2805684,1.04,170.7,Sell,,Hold
2022-02-22,AAPL,Q1,2022,2022-01-01,2022-03-31,144.9458209364668,2893566,1.04,170.7,Sell,,Hold
2022-02-23,AAPL,Q1,2022,2022-01-01,2022-03-31,145.94681156637623,4589697,1.04,170.7,Sell,,Hold
2022-02-24,AAPL,Q1,2022,2022-01-01,2022-03-31,144.66878491047575,4950885,1.04,170.7,Sell,,Hold
2022-02-25,AAPL,Q1,2022,2022-01-01,2022-03-31,145.0796875541307,3241171,1.04,170.7,Sell,,Hold
2022-02-28,AAPL,Q1,2022,2022-01-01,2022-03-31,143.91595676522846,1935838,1.04,170.7,Sell,,Hold
2022-03-01,AAPL,Q1,2022,2022-01-01,2022-03-31,141.45091984272855,3297501,1.04,170.7,Sell,,Hold
2022-03-02,AAPL,Q1,2022,2022-01-01,2022-03-31,140.89906778577847,1039087,1.04,170.7,Sell,,Hold
2022-03-03,AAPL,Q1,2022,2022-01-01,2022-03-31,141.7098789130147,3518744,1.04,170.7,Sell,,Hold
2022-03-04,AAPL,Q1,2022,2022-01-01,2022-03-31,142.19050626382278,3519049,1.04,170.7,Sell,,Hold
2022-03-07,AAPL,Q1,2022,2022-01-01,2022-03-31,142.173685418844,2524411,1.04,170.7,Sell,,Hold
2022-03-08,AAPL,Q1,2022,2022-01-01,2022-03-31,145.6160116137076,1596048,1.04,170.7,Sell,,Hold
2022-03-09,AAPL,Q1,2022,2022-01-01,2022-03-31,146.2185208940127,2634184,1.04,170.7,Sell,,Hold
2022-03-10,AAPL,Q1,2022,2022-01-01,2022-03-31,147.6566404221059,2462122,1.04,170.7,Sell,,Hold
2022-03-11,AAPL,Q1,2022,2022-01-01,2022-03-31,150.99866785718302,3995001,1.04,170.7,Sell,,Hold
2022-03-14,AAPL,Q1,2022,2022-01-01,2022-03-31,149.05720544230874,3623391,1.04,170.7,Sell,,Hold
2022-03-15,AAPL,Q1,2022,2022-01-01,2022-03-31,147.51683123011333,2180759,1.04,170.7,Sell,,Hold
2022-03-16,AAPL,Q1,2022,2022-01-01,2022-03-31,150.11165765641445,1903567,1.04,170.7,Sell,,Hold
2022-03-17,AAPL,Q1,2022,2022-01-01,2022-03-31,148.91844010077347,4718411,1.04,170.7,Sell,,Hold
2022-03-18,AAPL,Q1,2022,2022-01-01,2022-03-31,148.96265046552028,4271074,1.04,170.7,Sell,,Hold
2022-03-21,AAPL,Q1,2022,2022-01-01,2022-03-31,150.564078780378,1568564,1.04,170.7,Sell,,Hold
2022-03-22,AAPL,Q1,2022,2022-01-01,2022-03-31,151.91115298516428,4553642,1.04,170.7,Sell,,Hold
2022-03-23,AAPL,Q1,2022,2022-01-01,2022-03-31,154.60054972456578,3294702,1.04,170.7,Sell,,Hold
2022-03-24,AAPL,Q1,2022,2022-01-01,2022-03-31,156.93020200874795,3934253,1.04,170.7,Sell,,Hold
2022-03-25,AAPL,Q1,2022,2022-01-01,2022-03-31,158.6174074320974,3739856,1.04,170.7,Sell,,Hold
2022-03-28,AAPL,Q1,2022,2022-01-01,2022-03-31,157.39648008347413,1368412,1.04,170.7,Sell,,Hold
2022-03-29,AAPL,Q1,2022,2022-01-01,2022-03-31,158.65255135159586,1138808,1.04,170.7,Sell,,Hold
2022-03-30,AAPL,Q1,2022,2022-01-01,2022-03-31,159.1519361913904,1572707,1.04,170.7,Sell,,Hold
2022-03-31,AAPL,Q1,2022,2022-01-01,2022-03-31,157.0550946114343,2406434,1.04,170.7,Sell,,Hold
2022-04-01,AAPL,Q2,2022,2022-04-01,2022-06-30,159.2968838724739,4027139,2.88,166.6,Sell,,Hold
2022-04-04,AAPL,Q2,2022,2022-04-01,2022-06-30,160.5879906493054,1138246,2.88,166.6,Sell,,Hold
2022-04-05,AAPL,Q2,2022,2022-04-01,2022-06-30,160.66105887387275,2074834,2.88,166.6,Sell,,Hold
2022-04-06,AAPL,Q2,2022,2022-04-01,2022-06-30,160.28700681273145,3832878,2.88,166.6,Sell,,Hold
2022-04-07,AAPL,Q2,2022,2022-04-01,2022-06-30,158.3777479568768,2457691,2.88,166.6,Sell,,Hold
2022-04-08,AAPL,Q2,2022,2022-04-01,2022-06-30,158.69406515074823,1226920,2.88,166.6,Sell,,Hold
2022-04-11,AAPL,Q2,2022,2022-04-01,2022-06-30,159.43919410735217,2822933,2.88,166.6,Sell,,Hold
2022-04-12,AAPL,Q2,2022,2022-04-01,2022-06-30,158.11949925071977,3817940,2.88,166.6,Sell,,Hold
2022-04-13,AAPL,Q2,2022,2022-04-01,2022-06-30,159.96789070818798,1074244,2.88,166.6,Sell,,Hold
2022-04-14,AAPL,Q2,2022,2022-04-01,2022-06-30,158.22231192157838,2096812,2.88,166.6,Sell,,Hold
2022-04-15,AAPL,Q2,2022,2022-04-01,2022-06-30,154.8985022221972,4950768,2.88,166.6,Sell,,Hold
2022-04-18,AAPL,Q2,2022,2022-04-01,2022-06-30,156.51742552103596,4142142,2.88,166.6,Sell,,Hold
2022-04-19,AAPL,Q2,2022,2022-04-01,2022-06-30,155.88735897429268,3206175,2.88,166.6,Sell,,Hold
2022-04-20,AAPL,Q2,2022,2022-04-01,2022-06-30,155.6910185317328,2017595,2.88,166.6,Sell,,Hold
2022-04-21,AAPL,Q2,2022,2022-04-01,2022-06-30,154.39252535439982,3075520,2.88,166.6,Sell,,Hold
2022-04-22,AAPL,Q2,2022,2022-04-01,2022-06-30,151.93284255164036,3061247,2.88,166.6,Sell,,Hold
2022-04-25,AAPL,Q2,2022,2022-04-01,2022-06-30,153.85198004281742,2200595,2.88,166.6,Sell,,Hold
2022-04-26,AAPL,Q2,2022,2022-04-01,2022-06-30,152.7957835530114,4128731,2.88,166.6,Sell,,Hold
2022-04-27,AAPL,Q2,2022,2022-04-01,2022-06-30,155.35484246635903,1035704,2.88,166.6,Sell,,Hold
2022-04-28,AAPL,Q2,2022,2022-04-01,2022-06-30,156.614111077197,1032043,2.88,166.6,Sell,,Hold
2022-04-29,AAPL,Q2,2022,2022-04-01,2022-06-30,156.12193039940948,4058037,2.88,166.6,Sell,,Hold
2022-05-02,AAPL,Q2,2022,2022-04-01,2022-06-30,154.4357702046149,4527599,2.88,166.6,Sell,,Hold
2022-05-03,AAPL,Q2,2022,2022-04-01,2022-06-30,153.3087195416622,1987620,2.88,166.6,Sell,,Hold
2022-05-04,AAPL,Q2,2022,2022-04-01,2022-06-30,151.46104026184705,3089467,2.88,166.6,Sell,,Hold
2022-05-05,AAPL,Q2,2022,2022-04-01,2022-06-30,154.65542310690293,4273867,2.88,166.6,Sell,,Hold
2022-05-06,AAPL,Q2,2022,2022-04-01,2022-06-30,154.9099496031727,4000337,2.88,166.6,Sell,,Hold
2022-05-09,AAPL,Q2,2022,2022-04-01,2022-06-30,156.70201891261206,2281652,2.88,166.6,Sell,,Hold
2022-05-10,AAPL,Q2,2022,2022-04-01,2022-06-30,154.72858426137006,2892652,2.88,166.6,Sell,,Hold
2022-05-11,AAPL,Q2,2022,2022-04-01,2022-06-30,155.00895105903683,1806450,2.88,166.6,Sell,,Hold
2022-05-12,AAPL,Q2,2022,2022-04-01,2022-06-30,156.84553748824948,2087985,2.88,166.6,Sell,,Hold
2022-05-13,AAPL,Q2,2022,2022-04-01,2022-06-30,156.32096723207215,3537476,2.88,166.6,Sell,,Hold
2022-05-16,AAPL,Q2,2022,2022-04-01,2022-06-30,157.94115396255927,3854302,2.88,166.6,Sell,,Hold
2022-05-17,AAPL,Q2,2022,2022-04-01,2022-06-30,156.23743060578698,1459457,2.88,166.6,Sell,,Hold
2022-05-18,AAPL,Q2,2022,2022-04-01,2022-06-30,154.12163461364966,1469804,2.88,166.6,Sell,,Hold
2022-05-19,AAPL,Q2,2022,2022-04-01,2022-06-30,154.70748369346663,3935354,2.88,166.6,Sell,,Hold
2022-05-20,AAPL,Q2,2022,2022-04-01,2022-06-30,154.12198012007295,2474248,2.88,166.6,Sell,,Hold
2022-05-23,AAPL,Q2,2022,2022-04-01,2022-06-30,155.11471104805847,4032961,2.88,166.6,Sell,,Hold
2022-05-24,AAPL,Q2,2022,2022-04-01,2022-06-30,152.07685760098582,4533137,2.88,166.6,Sell,,Hold
2022-05-25,AAPL,Q2,2022,2022-04-01,2022-06-30,153.16391403998713,1377527,2.88,166.6,Sell,,Hold
2022-05-26,AAPL,Q2,2022,2022-04-01,2022-06-30,157.19573063117403,4868450,2.88,166.6,Sell,,Hold
2022-05-27,AAPL,Q2,2022,2022-04-01,2022-06-30,157.15702440582726,2037227,2.88,166.6,Sell,,Hold
2022-05-30,AAPL,Q2,2022,2022-04-01,2022-06-30,157.21069032051236,1203416,2.88,166.6,Sell,,Hold
2022-05-31,AAPL,Q2,2022,2022-04-01,2022-06-30,157.49321486456088,1348943,2.88,166.6,Sell,,Hold
2022-06-01,AAPL,Q2,2022,2022-04-01,2022-06-30,154.58786187996094,3062649,2.88,166.6,Sell,,Hold
2022-06-02,AAPL,Q2,2022,2022-04-01,2022-06-30,155.24803851994287,2684776,2.88,166.6,Sell,,Hold
2022-06-03,AAPL,Q2,2022,2022-04-01,2022-06-30,152.7755711016001,2579307,2.88,166.6,Sell,,Hold
2022-06-06,AAPL,Q2,2022,2022-04-01,2022-06-30,152.12357637110483,3625133,2.88,166.6,Sell,,Hold
2022-06-07,AAPL,Q2,2022,2022-04-01,2022-06-30,154.02607226042772,2014419,2.88,166.6,Sell,,Hold
2022-06-08,AAPL,Q2,2022,2022-04-01,2022-06-30,152.89779917022815,1334394,2.88,166.6,Sell,,Hold
2022-06-09,AAPL,Q2,2022,2022-04-01,2022-06-30,153.66612183977014,2984195,2.88,166.6,Sell,,Hold
2022-06-10,AAPL,Q2,2022,2022-04-01,2022-06-30,155.23026564722133,4480436,2.88,166.6,Sell,,Hold
2022-06-13,AAPL,Q2,2022,2022-04-01,2022-06-30,155.66355942144943,2510643,2.88,166.6,Sell,,Hold
2022-06-14,AAPL,Q2,2022,2022-04-01,2022-06-30,153.54405409463504,3017619,2.88,166.6,Sell,,Hold
2022-06-15,AAPL,Q2,2022,2022-04-01,2022-06-30,153.0344057747957,2980351,2.88,166.6,Sell,,Hold
2022-06-16,AAPL,Q2,2022,2022-04-01,2022-06-30,156.06254929093615,1915750,2.88,166.6,Sell,,Hold
2022-06-17,AAPL,Q2,2022,2022-04-01,2022-06-30,152.9339954846934,1029070,2.88,166.6,Sell,,Hold
2022-06-20,AAPL,Q2,2022,2022-04-01,2022-06-30,152.51280597253972,2501585,2.88,166.6,Sell,,Hold
2022-06-21,AAPL,Q2,2022,2022-04-01,2022-06-30,151.6730906617555,3145990,2.88,166.6,Sell,,Hold
2022-06-22,AAPL,Q2,2022,2022-04-01,2022-06-30,151.85634253289365,4837890,2.88,166.6,Sell,,Hold
2022-06-23,AAPL,Q2,2022,2022-04-01,2022-06-30,152.99681668571492,4206343,2.88,166.6,Sell,,Hold
2022-06-24,AAPL,Q2,2022,2022-04-01,2022-06-30,155.47796616332508,1543516,2.88,166.6,Sell,,Hold
2022-06-27,AAPL,Q2,2022,2022-04-01,2022-06-30,155.0583815184625,4127751,2.88,166.6,Sell,,Hold
2022-06-28,AAPL,Q2,2022,2022-04-01,2022-06-30,156.32311485799033,1446592,2.88,166.6,Sell,,Hold
2022-06-29,AAPL,Q2,2022,2022-04-01,2022-06-30,157.10627948275777,3615658,2.88,166.6,Sell,,Hold
2022-06-30,AAPL,Q2,2022,2022-04-01,2022-06-30,157.85327916000597,4164277,2.88,166.6,Sell,,Hold
2022-07-01,AAPL,Q3,2022,2022-07-01,2022-09-30,156.96561197835047,1932052,1.35,78.6,Sell,,Hold
2022-07-04,AAPL,Q3,2022,2022-07-01,2022-09-30,155.4079406379686,2181926,1.35,78.6,Sell,,Hold
2022-07-05,AAPL,Q3,2022,2022-07-01,2022-09-30,153.70775482383957,4831852,1.35,78.6,Sell,,Hold
2022-07-06,AAPL,Q3,2022,2022-07-01,2022-09-30,152.5494386630472,4754561,1.35,78.6,Sell,,Hold
2022-07-07,AAPL,Q3,2022,2022-07-01,2022-09-30,153.04095988381357,2727777,1.35,78.6,Sell,,Hold
2022-07-08,AAPL,Q3,2022,2022-07-01,2022-09-30,154.2099662719164,3576788,1.35,78.6,Sell,,Hold
2022-07-11,AAPL,Q3,2022,2022-07-01,2022-09-30,154.70959510927517,4602607,1.35,78.6,Sell,,Hold
2022-07-12,AAPL,Q3,2022,2022-07-01,2022-09-30,153.86263574285894,2921184,1.35,78.6,Sell,,Hold
2022-07-13,AAPL,Q3,2022,2022-07-01,2022-09-30,156.66659205170924,1853879,1.35,78.6,Sell,,Hold
2022-07-14,AAPL,Q3,2022,2022-07-01,2022-09-30,159.06431002410756,4313766,1.35,78.6,Sell,,Hold
2022-07-15,AAPL,Q3,2022,2022-07-01,2022-09-30,158.50221767803964,2025976,1.35,78.6,Sell,,Hold
2022-07-18,AAPL,Q3,2022,2022-07-01,2022-09-30,157.20241945615874,3737350,1.35,78.6,Sell,,Hold
2022-07-19,AAPL,Q3,2022,2022-07-01,2022-09-30,157.40725384815062,1738830,1.35,78.6,Sell,,Hold
2022-07-20,AAPL,Q3,2022,2022-07-01,2022-09-30,159.41476757257942,1123336,1.35,78.6,Sell,,Hold
2022-07-21,AAPL,Q3,2022,2022-07-01,2022-09-30,159.94612768749113,4494557,1.35,78.6,Sell,,Hold
2022-07-22,AAPL,Q3,2022,2022-07-01,2022-09-30,160.83878752893233,1321323,1.35,78.6,Sell,,Hold
2022-07-25,AAPL,Q3,2022,2022-07-01,2022-09-30,160.49804188627917,3431602,1.35,78.6,Sell,,Hold
2022-07-26,AAPL,Q3,2022,2022-07-01,2022-09-30,161.23202093180657,3000566,1.35,78.6,Sell,,Hold
2022-07-27,AAPL,Q3,2022,2022-07-01,2022-09-30,163.74165246070146,1022779,1.35,78.6,Sell,,Hold
2022-07-28,AAPL,Q3,2022,2022-07-01,2022-09-30,163.34968473723626,4999220,1.35,78.6,Sell,,Hold
2022-07-29,AAPL,Q3,2022,2022-07-01,2022-09-30,163.58394528313826,3082789,1.35,78.6,Sell,,Hold
2022-08-01,AAPL,Q3,2022,2022-07-01,2022-09-30,163.99967566216915,1490856,1.35,78.6,Sell,,Hold
2022-08-02,AAPL,Q3,2022,2022-07-01,2022-09-30,164.46564504946792,4770278,1.35,78.6,Sell,,Hold
2022-08-03,AAPL,Q3,2022,2022-07-01,2022-09-30,162.15988856462616,3455343,1.35,78.6,Sell,,Hold
2022-08-04,AAPL,Q3,2022,2022-07-01,2022-09-30,159.144744104358,4794772,1.35,78.6,Sell,,Hold
2022-08-05,AAPL,Q3,2022,2022-07-01,2022-09-30,157.53026171484197,3838402,1.35,78.6,Sell,,Hold
2022-08-08,AAPL,Q3,2022,2022-07-01,2022-09-30,157.7950439307497,3557348,1.35,78.6,Sell,,Hold
2022-08-09,AAPL,Q3,2022,2022-07-01,2022-09-30,158.6714262195802,2576956,1.35,78.6,Sell,,Hold
2022-08-10,AAPL,Q3,2022,2022-07-01,2022-09-30,157.8316275966604,4823888,1.35,78.6,Sell,,Hold
2022-08-11,AAPL,Q3,2022,2022-07-01,2022-09-30,160.02041350895095,3775632,1.35,78.6,Sell,,Hold
2022-08-12,AAPL,Q3,2022,2022-07-01,2022-09-30,159.79146666033984,4091957,1.35,78.6,Sell,,Hold
2022-08-15,AAPL,Q3,2022,2022-07-01,2022-09-30,159.82393318972373,4116746,1.35,78.6,Sell,,Hold
2022-08-16,AAPL,Q3,2022,2022-07-01,2022-09-30,159.51423295321848,1135369,1.35,78.6,Sell,,Hold
2022-08-17,AAPL,Q3,2022,2022-07-01,2022-09-30,159.72816809680126,1458953,1.35,78.6,Sell,,Hold
2022-08-18,AAPL,Q3,2022,2022-07-01,2022-09-30,160.85738447821777,3229784,1.35,78.6,Sell,,Hold
2022-08-19,AAPL,Q3,2022,2022-07-01,2022-09-30,161.93170885983255,3394639,1.35,78.6,Sell,,Hold
2022-08-22,AAPL,Q3,2022,2022-07-01,2022-09-30,160.4833929822509,3970294,1.35,78.6,Sell,,Hold
2022-08-23,AAPL,Q3,2022,2022-07-01,2022-09-30,162.94734380340032,4063354,1.35,78.6,Sell,,Hold
2022-08-24,AAPL,Q3,2022,2022-07-01,2022-09-30,161.17276108444952,1650341,1.35,78.6,Sell,,Hold
2022-08-25,AAPL,Q3,2022,2022-07-01,2022-09-30,161.3005040473698,2648885,1.35,78.6,Sell,,Hold
2022-08-26,AAPL,Q3,2022,2022-07-01,2022-09-30,160.85850767996183,3444478,1.35,78.6,Sell,,Hold
2022-08-29,AAPL,Q3,2022,2022-07-01,2022-09-30,159.17993475951212,2097779,1.35,78.6,Sell,,Hold
2022-08-30,AAPL,Q3,2022,2022-07-01,2022-09-30,159.0604027587764,3317592,1.35,78.6,Sell,,Hold
2022-08-31,AAPL,Q3,2022,2022-07-01,2022-09-30,157.88641528681003,3609548,1.35,78.6,Sell,,Hold
2022-09-01,AAPL,Q3,2022,2022-07-01,2022-09-30,158.00156789189725,4698026,1.35,78.6,Sell,,Hold
2022-09-02,AAPL,Q3,2022,2022-07-01,2022-09-30,158.63973534821932,4438159,1.35,78.6,Sell,,Hold
2022-09-05,AAPL,Q3,2022,2022-07-01,2022-09-30,160.99207008581968,1646513,1.35,78.6,Sell,,Hold
2022-09-06,AAPL,Q3,2022,2022-07-01,2022-09-30,161.48769564964508,2903464,1.35,78.6,Sell,,Hold
2022-09-07,AAPL,Q3,2022,2022-07-01,2022-09-30,160.5036523569658,2553747,1.35,78.6,Sell,,Hold
2022-09-08,AAPL,Q3,2022,2022-07-01,2022-09-30,159.8763174430742,2735195,1.35,78.6,Sell,,Hold
2022-09-09,AAPL,Q3,2022,2022-07-01,2022-09-30,160.1002659872553,1695483,1.35,78.6,Sell,,Hold
2022-09-12,AAPL,Q3,2022,2022-07-01,2022-09-30,160.24996696881072,3567175,1.35,78.6,Sell,,Hold
2022-09-13,AAPL,Q3,2022,2022-07-01,2022-09-30,162.60611147592533,2189368,1.35,78.6,Sell,,Hold
2022-09-14,AAPL,Q3,2022,2022-07-01,2022-09-30,164.8909442856653,2493406,1.35,78.6,Sell,,Hold
2022-09-15,AAPL,Q3,2022,2022-07-01,2022-09-30,164.30015236402085,3164725,1.35,78.6,Sell,,Hold
